,ID,User,Tweet,Date,Hashtags,target
809,1526702023848038400,sakuracounselCA,"There's quite a bit of things you can do to help your current mental state — it differs for everyone, here's some ways to be gentler with yourself. #mentalhealth #mentalhealthawareness #selfcare #selflove #anxiety #mentalhealthmatters #depression #wellness #mindfulness #healing https://t.co/ReUoQ56zOz",2022-05-17 23:11:41+00:00,"[{'text': 'mentalhealth', 'indices': [148, 161]}, {'text': 'mentalhealthawareness', 'indices': [162, 184]}, {'text': 'selfcare', 'indices': [185, 194]}, {'text': 'selflove', 'indices': [195, 204]}, {'text': 'anxiety', 'indices': [205, 213]}, {'text': 'mentalhealthmatters', 'indices': [214, 234]}, {'text': 'depression', 'indices': [235, 246]}, {'text': 'wellness', 'indices': [247, 256]}, {'text': 'mindfulness', 'indices': [257, 269]}, {'text': 'healing', 'indices': [270, 278]}]",1
810,1526701720738353154,VoiceDepression,"Giving Voice to Depression is a weekly #podcast (that has been heard more than 750,000 times) featuring shared stories of lived experience with #depression, and the daily reminder that there is hope.  

#MentalHealthAwarenessMonth #suicideprevention #peersupport #YouMatter https://t.co/f7QOpAyo2E",2022-05-17 23:10:29+00:00,"[{'text': 'podcast', 'indices': [39, 47]}, {'text': 'depression', 'indices': [144, 155]}, {'text': 'MentalHealthAwarenessMonth', 'indices': [203, 230]}, {'text': 'suicideprevention', 'indices': [231, 249]}, {'text': 'peersupport', 'indices': [250, 262]}, {'text': 'YouMatter', 'indices': [263, 273]}]",1
811,1526701293074522112,sanshui596,"#Glen_Maney shares some thoughts about #depression #FriendsandFamily’

‘Details of my book of #poems, #IntoTheLight to follow with #charities benefitting from the sales’.

#MentalHealth #MentalHealthAwareness #London #ChalkFarm #CamdenTown #Camden #Bow 

https://t.co/uXBIA9idcj https://t.co/yQX0Nngtci",2022-05-17 23:08:47+00:00,"[{'text': 'Glen_Maney', 'indices': [0, 11]}, {'text': 'depression', 'indices': [39, 50]}, {'text': 'FriendsandFamily', 'indices': [51, 68]}, {'text': 'poems', 'indices': [94, 100]}, {'text': 'IntoTheLight', 'indices': [102, 115]}, {'text': 'charities', 'indices': [131, 141]}, {'text': 'MentalHealth', 'indices': [172, 185]}, {'text': 'MentalHealthAwareness', 'indices': [186, 208]}, {'text': 'London', 'indices': [209, 216]}, {'text': 'ChalkFarm', 'indices': [217, 227]}, {'text': 'CamdenTown', 'indices': [228, 239]}, {'text': 'Camden', 'indices': [240, 247]}, {'text': 'Bow', 'indices': [248, 252]}]",1
812,1526700785496629248,AndyMyrna,"@PsychicMedium82 I have #depression anyhow, but with having #covid, it really brought back the darkness",2022-05-17 23:06:46+00:00,"[{'text': 'depression', 'indices': [24, 35]}, {'text': 'covid', 'indices': [60, 66]}]",1
813,1526700648405913606,RichardGillies9,"Our #anxiety is caused by our survival mechanism sometimes the best way to survive is to learn to fight

I have found that taking up a martial art can help flip your life onto a positive path

#anxietyattacks #panicattacks #PTSD #confidence #mentalhealth  #depression #depressed https://t.co/FycAgod8oX",2022-05-17 23:06:13+00:00,"[{'text': 'anxiety', 'indices': [4, 12]}, {'text': 'anxietyattacks', 'indices': [193, 208]}, {'text': 'panicattacks', 'indices': [209, 222]}, {'text': 'PTSD', 'indices': [223, 228]}, {'text': 'confidence', 'indices': [229, 240]}, {'text': 'mentalhealth', 'indices': [241, 254]}, {'text': 'depression', 'indices': [256, 267]}, {'text': 'depressed', 'indices': [268, 278]}]",1
814,1526700498937647105,sfatc,"Here are SIX steps from SGFirstAid you need to take in order to know your true self:⁠
⁠
https://t.co/6zGzfsFe7o
⁠
#personalgrowth #personaldevelopment #selfimprovement #selfdevelopment⁠
#mentalhealthawareness #anxiety #mentalillness #depression #mindfulness https://t.co/b14jjoiA4Z",2022-05-17 23:05:38+00:00,"[{'text': 'personalgrowth', 'indices': [114, 129]}, {'text': 'personaldevelopment', 'indices': [130, 150]}, {'text': 'selfimprovement', 'indices': [151, 167]}, {'text': 'selfdevelopment', 'indices': [168, 184]}, {'text': 'mentalhealthawareness', 'indices': [186, 208]}, {'text': 'anxiety', 'indices': [209, 217]}, {'text': 'mentalillness', 'indices': [218, 232]}, {'text': 'depression', 'indices': [233, 244]}, {'text': 'mindfulness', 'indices': [245, 257]}]",1
815,1526700206397566977,7871_brandon,Lyme imitates almost every other disease and is misdiagnosed as other disease much of the time. Testing is only 31% accurate during acute phase. How many #MS #RA #Depression #Anxiety #Parkinson #MECFS and more really have #lymedisease  Hmm.. https://t.co/GZF504trm4,2022-05-17 23:04:28+00:00,"[{'text': 'MS', 'indices': [154, 157]}, {'text': 'RA', 'indices': [158, 161]}, {'text': 'Depression', 'indices': [162, 173]}, {'text': 'Anxiety', 'indices': [174, 182]}, {'text': 'Parkinson', 'indices': [183, 193]}, {'text': 'MECFS', 'indices': [194, 200]}, {'text': 'lymedisease', 'indices': [222, 234]}]",1
816,1526699588823941122,sanshui596,"#Glen_Maney shares some thoughts about #depression #FriendsandFamily’

‘Details of my book of #poems, #IntoTheLight to follow with #charities benefitting from the sales’.

#MentalHealth #MentalHealthAwareness #StamfordHill #Hackney #Hoxton #Highgate #UK

https://t.co/uXBIA9idcj https://t.co/8tYboTm2aR",2022-05-17 23:02:01+00:00,"[{'text': 'Glen_Maney', 'indices': [0, 11]}, {'text': 'depression', 'indices': [39, 50]}, {'text': 'FriendsandFamily', 'indices': [51, 68]}, {'text': 'poems', 'indices': [94, 100]}, {'text': 'IntoTheLight', 'indices': [102, 115]}, {'text': 'charities', 'indices': [131, 141]}, {'text': 'MentalHealth', 'indices': [172, 185]}, {'text': 'MentalHealthAwareness', 'indices': [186, 208]}, {'text': 'StamfordHill', 'indices': [209, 222]}, {'text': 'Hackney', 'indices': [223, 231]}, {'text': 'Hoxton', 'indices': [232, 239]}, {'text': 'Highgate', 'indices': [240, 249]}, {'text': 'UK', 'indices': [250, 253]}]",1
817,1526699300901863425,CoachkoalaNFT,"Keep going 🙂

#mentalhealthawareness #anxiety #mentalillness #depression #mindfulness #mentalhealthmatters #wellbeing #suicideprevention #selfcare #healing #selflove #therapy #mentalillnessisreal #quotes #mentalhealthquotes #nft https://t.co/TSgqcMXgTx",2022-05-17 23:00:52+00:00,"[{'text': 'mentalhealthawareness', 'indices': [14, 36]}, {'text': 'anxiety', 'indices': [37, 45]}, {'text': 'mentalillness', 'indices': [46, 60]}, {'text': 'depression', 'indices': [61, 72]}, {'text': 'mindfulness', 'indices': [73, 85]}, {'text': 'mentalhealthmatters', 'indices': [86, 106]}, {'text': 'wellbeing', 'indices': [107, 117]}, {'text': 'suicideprevention', 'indices': [118, 136]}, {'text': 'selfcare', 'indices': [137, 146]}, {'text': 'healing', 'indices': [147, 155]}, {'text': 'selflove', 'indices': [156, 165]}, {'text': 'therapy', 'indices': [166, 174]}, {'text': 'mentalillnessisreal', 'indices': [175, 195]}, {'text': 'quotes', 'indices': [196, 203]}, {'text': 'mentalhealthquotes', 'indices': [204, 223]}, {'text': 'nft', 'indices': [224, 228]}]",1
818,1526699219733647360,WillowAssist,"Check out the Dear Rita Co-Host Cheryl Wild as she ask's Rita for tips on Death, Anxiety, Stuttering and Procrastination https://t.co/7AVXHHniJt ⚡️ #HowTo #Procrastination #Anxiety #Death #Stuttering #Podcast #Tips #Depression #Love #Lifestyle",2022-05-17 23:00:33+00:00,"[{'text': 'HowTo', 'indices': [148, 154]}, {'text': 'Procrastination', 'indices': [155, 171]}, {'text': 'Anxiety', 'indices': [172, 180]}, {'text': 'Death', 'indices': [181, 187]}, {'text': 'Stuttering', 'indices': [188, 199]}, {'text': 'Podcast', 'indices': [200, 208]}, {'text': 'Tips', 'indices': [209, 214]}, {'text': 'Depression', 'indices': [215, 226]}, {'text': 'Love', 'indices': [227, 232]}, {'text': 'Lifestyle', 'indices': [233, 243]}]",1
